number,genus,species,Scientific Name,weight,chemical_group,substance,group,MoA,irac_group,irac_cat,LD50_bee,LD50_g_bee,tox_ref,notes
1,Andrena,erythronii,Andrena erythronii,55,AChE Inhibitors,Aminocarb,Carbamates,AChE Inhibitors,1,a,0.06,0.001090909,Arena 2014 citing Helson 1994,
2,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.58,0.021066667,EPA database access June 2019 (ref. # 91623),
3,Apis,cerana,Apis cerana,75,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,0.278,0.003706667,Yasuda 2017,
4,Apis,cerana,Apis cerana,75,Pyrethrins,Etofenprox,Pyrethrins,Sodium channel modulators,3,a,0.0048,0.000064,Yasuda 2017,
5,Andrena,erythronii,Andrena erythronii,55,AChE Inhibitors,Carbaryl,Carbamates,AChE Inhibitors,1,a,0.543,0.009872727,Arena 2014 citing Helson 1994,
6,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.4,0.018666667,EPA database access June 2019 (ref. # 91623),
7,Apis,cerana,Apis cerana,75,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,0.22,0.002933333,Yasuda 2017,
8,Apis,cerana,Apis cerana,75,Pyrethrins,Etofenprox,Pyrethrins,Sodium channel modulators,3,a,0.007,9.33E-05,Yasuda 2017,
9,Apis,mellifera,Apis mellifera,100,Neonicotinoids (cyano),Acetamiprid,Neonicotinoids (cyano),nAChR antagonist (cyano),4,a,64.6,0.646,Arena 2014 citing Biddinger et al. 2013,
10,Andrena,erythronii,Andrena erythronii,55,AChE Inhibitors,Fenitrothion,Organophosphates,AChE Inhibitors,1,b,0.1,0.001818182,Arena 2014 citing Helson 1994,
11,Apis,cerana,Apis cerana,75,Organochlorines,Endosulfan,Organochlorines,GABA antagonist,2,a,1.6,0.021333333,EPA database access June 2019 (ref. # 91623),
12,Apis,cerana,Apis cerana,75,Pyrethrins,Fenvalerate,Pyrethrins,Sodium channel modulators,3,a,1.1,0.014666667,EPA database access June 2019 (ref. # 91623),
13,Andrena,erythronii,Andrena erythronii,55,AChE Inhibitors,Mexacarbate,Carbamates,AChE Inhibitors,1,a,0.055,0.001,Arena 2014 citing Helson 1994,
